Número de estudiante | Sigla | Periodo | Calificación | Nota
2689 | HF0157 | 2005-01 | SU | 4,6
2689 | HF0159 | 2005-01 | SU | 4,2
2689 | HF0162 | 2005-01 | I | 3,5
2689 | HF0167 | 2005-01 | SU | 4,8
2689 | HF0184 | 2005-01 | EX | x
2689 | HF0186 | 2005-01 | EX | x
2689 | HF0152 | 2005-02 | SU | 4,8
2689 | HF0168 | 2006-02 | SO | 6,8
2689 | HF0185 | 2006-02 | B | 5,4
2689 | HF013463 | 2023-02 | MB | 6,2
2689 | HF011704 | 2006-02 | SO | 7
2689 | HF0162 | 2005-01 | SU | 4
2689 | HF0176 | 2005-01 | SU | 4
3353 | DV023491 | 2022-02 | SU | 4
3353 | DV024460 | 2023-02 | SU | 4
3353 | DV0227570 | 2023-02 | SO | 7
3353 | DV023485 | 2022-02 | SU | 4,7
3353 | DV023486 | 2022-02 | MB | 6,3
3353 | DV023490 | 2022-02 | SU | 4,7
3353 | DV023491 | 2022-02 | I | 3
3353 | DV024148 | 2024-01 | SO | 7
3353 | DV023489 | 2023-01 | B | 5,1
3353 | DV024093 | 2023-01 | SU | 4
3353 | DV024090 | 2023-01 | MB | 6
3353 | DV024442 | 2023-01 | SO | 6,5
3353 | DV023492 | 2023-02 | B | 5,1
3353 | DV023493 | 2023-02 | MB | 6,1
3353 | DV023494 | 2023-02 | B | 5,6
3353 | DV025151 | 2023-02 | SU | 4,6
1400 | HF023450 | 2008-01 | B | 5,6
1400 | HF023451 | 2008-01 | SU | 4,3
1400 | HF023453 | 2008-01 | SU | 4,9
1400 | HF023502 | 2008-01 | B | 5,5
1400 | HF023456 | 2008-02 | SU | 4,8
1400 | HF023457 | 2008-02 | I | 3,1
1400 | HF023458 | 2008-02 | SU | 4,2
1400 | HF023459 | 2008-02 | I | 3
1400 | HF023459 | 2008-02 | I | 3,6
1400 | HF024444 | 2008-02 | SU | 4,2
1400 | HF023459 | 2009-01 | I | 3
1400 | HF023459 | 2009-01 | SU | 4,2
1400 | HF023461 | 2009-01 | SU | 4,4
1400 | HF023462 | 2009-01 | SU | 4,4
1400 | HF023463 | 2009-01 | I | 3
1400 | HF023463 | 2009-01 | MM | 1
1400 | HF023464 | 2009-01 | I | 3,9
1400 | HF023463 | 2009-02 | I | 3,4
1400 | HF023468 | 2009-02 | I | 3,8
1400 | HF023470 | 2009-02 | I | 3
1400 | HF023507 | 2009-02 | M | 2,7
1400 | HF024002 | 2009-02 | MM | 1
1400 | HF023469 | 2010-01 | B | 5,4
1400 | HF023473 | 2010-01 | B | 5,3
1400 | HF023473 | 2010-01 | I | 3
1400 | HF023476 | 2010-01 | SU | 4,8
1400 | HF024000 | 2010-01 | B | 5,6
1400 | HF024001 | 2010-01 | MB | 6,2
1400 | HF023475 | 2010-02 | SU | 4,3
1400 | HF023479 | 2010-02 | SU | 4,3
1400 | HF023482 | 2010-02 | B | 5,3
1400 | HF024093 | 2010-02 | MB | 6,3
1400 | HF023481 | 2011-01 | SU | 4,5
1400 | HF023485 | 2011-01 | B | 5,5
1400 | HF023486 | 2011-01 | SU | 4,7
1400 | HF023487 | 2011-01 | SU | 4,4
1400 | HF023488 | 2011-01 | SU | 4,6
1400 | HF023977 | 2011-01 | B | 5,2
1400 | HF023489 | 2011-02 | SU | 4,3
1400 | HF023490 | 2011-02 | SU | 4,3
1400 | HF023490 | 2011-02 | I | 3
1400 | HF023491 | 2011-02 | SU | 4,1
1400 | HF024139 | 2011-02 | B | 5,7
1400 | HF024441 | 2011-02 | SU | 4,2
1400 | HF024442 | 2011-02 | SU | 4,4
1400 | HF023492 | 2012-01 | SU | 4,4
1400 | HF023493 | 2012-01 | SU | 4,9
1400 | HF023494 | 2012-01 | SU | 4,6
1400 | HF024137 | 2012-01 | SU | 4,9
1400 | HF024866 | 2012-01 | B | 5,5
1400 | HF023495 | 2012-02 | B | 5,3
1400 | HF023506 | 2012-02 | B | 5,9
1400 | HF023509 | 2012-02 | B | 5,2
1400 | HF023889 | 2012-02 | B | 5,2
1400 | HF024463 | 2012-02 | SU | 4,8
1653 | DV023509 | 2011-02 | B | 5
1400 | HF023457 | 2008-02 | SU | 4
1400 | HF023468 | 2009-02 | SU | 4
1400 | HF023474 | 2010-01 | B | 5
1400 | HF023480 | 2010-02 | B | 5
1400 | HF023467 | 2009-02 | B | 5
1400 | HF023464 | 2009-01 | SU | 4
1400 | HF023470 | 2009-02 | SU | 4
1400 | HF021635 | 2024-01 | MB | 6,1
1400 | HF023463 | 2009-02 | SU | 4
1653 | DV023894 | 2011-01 | MB | 6
1400 | HF024135 | 2012-01 | MB | 6
1653 | DV023871 | 2011-01 | MB | 6
1653 | DV023494 | 2011-02 | B | 5
1400 | HF023507 | 2010-01 | B | 5
1653 | DV023480 | 2010-02 | B | 5,1
1653 | DV023488 | 2010-02 | SU | 4,1
1653 | DV023490 | 2010-02 | SU | 4,7
1653 | DV024139 | 2010-02 | SU | 4,8
1653 | DV024868 | 2010-02 | SU | 4,9
1653 | DV023486 | 2011-01 | NP | x
1653 | DV023486 | 2011-01 | B | 5,6
1653 | DV023491 | 2011-01 | B | 5,2
1653 | DV023492 | 2011-01 | SU | 4,5
1653 | DV023493 | 2011-01 | B | 5,1
1653 | DV023495 | 2011-02 | I | 3
1653 | DV023495 | 2011-02 | SU | 4,5
1653 | DV024135 | 2011-02 | B | 5,5
1653 | DV024442 | 2011-02 | I | 3
1653 | DV024442 | 2011-02 | SU | 4,2
1653 | DV021635 | 2018-02 | I | 3
1400 | HF024091 | 2010-02 | MB | 6
1400 | HF023503 | 2008-01 | B | 5
1400 | HF023455 | 2008-01 | SU | 4
1233 | DV023493 | 2021-02 | SO | 7
1233 | DV023509 | 2022-01 | SO | 7
1233 | DV023457 | 2010-01 | SU | 4
1233 | DV023462 | 2010-02 | SU | 4
